datetime,demand_mw,solar_mw,net_demand_mw,month,hour,day_of_week
2023-01-01 00:00:00,9828.0,0.0,9828.0,1,0.0,6
2023-01-01 00:30:00,9587.4,3.3,9584.1,1,0.5,6
2023-01-01 01:00:00,9616.0,17.0,9598.9,1,1.0,6
2023-01-01 01:30:00,9678.3,52.6,9625.7,1,1.5,6
2023-01-01 02:00:00,9287.6,100.3,9187.3,1,2.0,6
2023-01-01 02:30:00,9235.9,161.5,9074.4,1,2.5,6
2023-01-01 03:00:00,9533.6,240.6,9293.1,1,3.0,6
2023-01-01 03:30:00,9380.8,369.2,9011.6,1,3.5,6
2023-01-01 04:00:00,9171.1,466.9,8704.2,1,4.0,6
2023-01-01 04:30:00,9382.5,670.0,8712.5,1,4.5,6
2023-01-01 05:00:00,9242.8,835.4,8407.4,1,5.0,6
2023-01-01 05:30:00,9291.1,1055.3,8235.7,1,5.5,6
2023-01-01 06:00:00,9469.8,1285.5,8184.3,1,6.0,6
2023-01-01 06:30:00,9131.2,1269.0,7862.2,1,6.5,6
2023-01-01 07:00:00,9208.5,1577.3,7631.2,1,7.0,6
2023-01-01 07:30:00,9452.0,1720.1,7731.9,1,7.5,6
2023-01-01 08:00:00,9393.9,1640.7,7753.2,1,8.0,6
2023-01-01 08:30:00,9643.6,2087.0,7556.6,1,8.5,6
2023-01-01 09:00:00,9422.5,2406.2,7016.3,1,9.0,6
2023-01-01 09:30:00,9320.4,2556.9,6763.5,1,9.5,6
2023-01-01 10:00:00,9819.4,2650.4,7169.0,1,10.0,6
2023-01-01 10:30:00,9491.8,2916.0,6575.8,1,10.5,6
2023-01-01 11:00:00,9521.3,3036.4,6484.9,1,11.0,6
2023-01-01 11:30:00,9233.7,2984.4,6249.4,1,11.5,6
2023-01-01 12:00:00,9381.8,2563.5,6818.3,1,12.0,6
2023-01-01 12:30:00,9501.8,2550.9,6950.8,1,12.5,6
2023-01-01 13:00:00,9292.2,3008.5,6283.7,1,13.0,6
2023-01-01 13:30:00,9602.3,2802.1,6800.2,1,13.5,6
2023-01-01 14:00:00,9480.5,2528.3,6952.2,1,14.0,6
2023-01-01 14:30:00,9608.2,2719.8,6888.4,1,14.5,6
2023-01-01 15:00:00,9641.1,2580.2,7060.8,1,15.0,6
2023-01-01 15:30:00,10184.8,2109.8,8075.1,1,15.5,6
2023-01-01 16:00:00,9960.3,1935.1,8025.2,1,16.0,6
2023-01-01 16:30:00,9887.8,1542.6,8345.2,1,16.5,6
2023-01-01 17:00:00,10340.3,1715.8,8624.5,1,17.0,6
2023-01-01 17:30:00,10079.0,1368.5,8710.6,1,17.5,6
2023-01-01 18:00:00,10429.7,1289.4,9140.4,1,18.0,6
2023-01-01 18:30:00,10114.3,968.8,9145.5,1,18.5,6
2023-01-01 19:00:00,10279.9,715.0,9565.0,1,19.0,6
2023-01-01 19:30:00,10580.1,655.4,9924.7,1,19.5,6
2023-01-01 20:00:00,10675.1,552.3,10122.8,1,20.0,6
2023-01-01 20:30:00,10541.7,361.7,10180.0,1,20.5,6
2023-01-01 21:00:00,10431.2,273.9,10157.3,1,21.0,6
2023-01-01 21:30:00,10313.8,168.8,10145.0,1,21.5,6
2023-01-01 22:00:00,9996.6,92.9,9903.7,1,22.0,6
2023-01-01 22:30:00,10011.6,47.3,9964.3,1,22.5,6
2023-01-01 23:00:00,9926.3,16.2,9910.1,1,23.0,6
2023-01-01 23:30:00,10063.2,3.3,10059.9,1,23.5,6
2023-01-02 00:00:00,9804.9,0.0,9804.9,1,0.0,0
2023-01-02 00:30:00,9299.5,3.4,9296.1,1,0.5,0
2023-01-02 01:00:00,9562.2,19.1,9543.1,1,1.0,0
2023-01-02 01:30:00,9339.3,45.3,9294.0,1,1.5,0
2023-01-02 02:00:00,9212.4,98.4,9114.0,1,2.0,0
2023-01-02 02:30:00,9392.7,152.6,9240.1,1,2.5,0
2023-01-02 03:00:00,9439.4,283.1,9156.3,1,3.0,0
2023-01-02 03:30:00,9414.8,355.8,9059.0,1,3.5,0
2023-01-02 04:00:00,9109.1,545.8,8563.2,1,4.0,0
2023-01-02 04:30:00,9233.7,567.5,8666.2,1,4.5,0
2023-01-02 05:00:00,9390.3,808.2,8582.1,1,5.0,0
2023-01-02 05:30:00,9555.0,885.2,8669.8,1,5.5,0
2023-01-02 06:00:00,9344.5,1295.9,8048.5,1,6.0,0
2023-01-02 06:30:00,9446.7,1371.6,8075.0,1,6.5,0
2023-01-02 07:00:00,9324.3,1672.2,7652.1,1,7.0,0
2023-01-02 07:30:00,9342.4,1821.4,7521.0,1,7.5,0
2023-01-02 08:00:00,9727.0,1790.1,7936.8,1,8.0,0
2023-01-02 08:30:00,9835.6,2086.1,7749.6,1,8.5,0
2023-01-02 09:00:00,9577.5,2394.0,7183.5,1,9.0,0
2023-01-02 09:30:00,9759.8,2111.4,7648.4,1,9.5,0
2023-01-02 10:00:00,9625.2,2678.8,6946.4,1,10.0,0
2023-01-02 10:30:00,9420.8,2328.2,7092.6,1,10.5,0
